stl,mtl,mtl2
0.7790625,0.5240625,0.815625
0.8125,0.5228125,0.8315625
0.7740625,0.555625,0.8334375
0.70625,0.5215625,0.8275
0.685,0.5259375,0.8390625
0.804375,0.6125,0.82375
0.5196875,0.520625,0.8009375
0.8153125,0.5240625,0.825625
0.5178125,0.5178125,0.816875
0.814375,0.5178125,0.839375
0.78,0.5253125,0.809375
0.52375,0.5178125,0.84875
0.7284375,0.5209375,0.8065625
0.7646875,0.52875,0.8365625
0.7490625,0.518125,0.834375
0.75625,0.5178125,0.831875
0.805,0.5178125,0.8165625
0.80625,0.5178125,0.8234375
0.7996875,0.524375,0.8121875
0.7790625,0.5971875,0.8228125
0.7003125,0.5178125,0.8365625
0.5178125,0.5228125,0.8046875
0.7690625,0.5178125,0.8278125
0.7315625,0.56625,0.81125
0.720625,0.52625,0.84
0.670625,0.5221875,0.81625
0.7640625,0.525,0.8171875
0.791875,0.52125,0.826875
0.7675,0.5178125,0.8165625
0.791875,0.561875,0.8446875
0.77625,0.554375,0.8271875
0.7853125,0.529375,0.7846875
0.78625,0.5203125,0.8415625
0.7540625,0.5303125,0.8375
0.735,0.53375,0.81125
0.7278125,0.5203125,0.79
0.5178125,0.528125,0.8321875
0.795,0.5709375,0.8328125
0.739375,0.526875,0.8059375
0.6653125,0.52625,0.78
0.7575,0.5178125,0.8059375
0.7546875,0.54875,0.83625
0.8025,0.5225,0.7528125
0.708125,0.521875,0.8165625
0.8078125,0.5178125,0.84125
0.5240625,0.5225,0.8053125
0.7909375,0.5240625,0.8203125
0.5409375,0.526875,0.815625
0.7025,0.5178125,0.8325
0.6884375,0.530625,0.8384375
0.7659375,0.5209375,0.830625
0.8065625,0.519375,0.5178125
0.5246875,0.5246875,0.819375
0.8040625,0.5234375,0.80875
0.76625,0.5265625,0.834375
0.6790625,0.5871875,0.8178125
0.7965625,0.5228125,0.8321875
0.80875,0.5475,0.8384375
0.715625,0.5271875,0.7846875
0.790625,0.5253125,0.8353125
0.7871875,0.51875,0.813125
0.568125,0.525,0.833125
0.7015625,0.521875,0.8096875
0.77375,0.5196875,0.8146875
0.7803125,0.5446875,0.7915625
0.795,0.53,0.8375
0.7796875,0.529375,0.840625
0.78875,0.521875,0.8234375
0.76375,0.6134375,0.7884375
0.721875,0.5178125,0.84875
0.7484375,0.560625,0.841875
0.768125,0.5178125,0.835
0.5178125,0.5265625,0.793125
0.7684375,0.5196875,0.7803125
0.7884375,0.616875,0.8215625
0.56,0.55875,0.8284375
0.791875,0.5178125,0.8315625
0.77,0.5675,0.821875
0.7640625,0.5240625,0.7659375
0.7734375,0.5309375,0.8278125
0.7209375,0.5178125,0.831875
0.7825,0.52,0.8309375
0.5178125,0.5209375,0.841875
0.779375,0.5178125,0.8115625
0.531875,0.540625,0.8284375
0.7925,0.5178125,0.8490625
0.5603125,0.5196875,0.79625
0.7775,0.5178125,0.81875
0.7253125,0.5178125,0.8328125
0.78,0.5259375,0.8021875
0.798125,0.52,0.7334375
0.7875,0.530625,0.836875
0.5178125,0.5240625,0.8109375
0.7559375,0.5178125,0.8115625
0.7440625,0.5203125,0.826875
0.75375,0.5178125,0.83375
0.7865625,0.6059375,0.8303125
0.7671875,0.518125,0.8334375
0.52,0.52875,0.83375
0.81,0.543125,0.805
