23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.921,0.921,0.921,0.916,0.921,0.921,0.921,0.921,0.921,0.918,0.921,0.921,0.921,0.921,0.92,0.921,0.921,0.921,0.921,0.91,0.921,0.916,0.921,0.921,0.923,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.905,0.921,0.921,0.921
0.921,0.921,0.92,0.914,0.896,0.921,0.921,0.921,0.921,0.921,0.866,0.921,0.921,0.919,0.921,0.921,0.921,0.921,0.921,0.913,0.896,0.918,0.919,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.919,0.921,0.89,0.921,0.921,0.879,0.921,0.921,0.918
0.921,0.921,0.921,0.921,0.921,0.921,0.92,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.917,0.921,0.921,0.913,0.873,0.894,0.921,0.921,0.893,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.914,0.92,0.921,0.908,0.921,0.918,0.907
0.921,0.921,0.921,0.919,0.921,0.921,0.921,0.921,0.921,0.921,0.916,0.915,0.921,0.921,0.921,0.921,0.921,0.875,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.877,0.921,0.921,0.921,0.921,0.921,0.916
0.921,0.921,0.92,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.899,0.921,0.921,0.921,0.921,0.921,0.903,0.921,0.921,0.921,0.921,0.913,0.895,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.912,0.911,0.921,0.921,0.921
0.921,0.921,0.921,0.921,0.921,0.921,0.92,0.92,0.917,0.921,0.851,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.92,0.921,0.921,0.921,0.92,0.921,0.921,0.921,0.906,0.921,0.921,0.893,0.921,0.921,0.921,0.921,0.921,0.921,0.888,0.921
0.921,0.921,0.921,0.91,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.92,0.916,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.919,0.921,0.921,0.921,0.91,0.921,0.896,0.921
0.921,0.921,0.92,0.921,0.919,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.917,0.921,0.919,0.921,0.921,0.921,0.921,0.921,0.921,0.922,0.921,0.921,0.92,0.921,0.907,0.921,0.921,0.922,0.921,0.921,0.921
0.921,0.92,0.92,0.921,0.919,0.921,0.891,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.919,0.919,0.919,0.921,0.908,0.921,0.919,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.894,0.921,0.921,0.917
0.921,0.921,0.921,0.911,0.922,0.921,0.878,0.921,0.921,0.916,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.902,0.92,0.921,0.892,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.912,0.921,0.921,0.921
